response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2020,0.0005,0.0001,0.0001,2.2012,0.0001,200,0.9728
3.1702,0.0065,0.0018,0.0001,3.1632,0.0002,200,0.0110
3.1699,0.0046,0.0020,0.0000,3.1632,0.0001,200,0.0114
2.3303,0.0006,0.0001,0.0001,2.3294,0.0001,200,0.8780
2.5073,0.0005,0.0001,0.0001,2.5065,0.0001,200,0.7200
2.7679,0.0004,0.0000,0.0001,2.7673,0.0001,200,0.4757
3.2351,0.0065,0.0015,0.0000,3.2283,0.0001,200,0.0112
2.4153,0.0006,0.0001,0.0001,2.4144,0.0002,200,0.8361
2.7478,0.0005,0.0001,0.0001,2.7470,0.0001,200,0.6465
2.6953,0.0005,0.0001,0.0001,2.6945,0.0001,200,0.7217
3.0090,0.0005,0.0001,0.0001,3.0083,0.0002,200,0.4222
2.3532,0.0006,0.0001,0.0001,2.3523,0.0002,200,1.0781
2.7567,0.0005,0.0001,0.0001,2.7559,0.0002,200,0.6760
2.5719,0.0005,0.0001,0.0001,2.5712,0.0001,200,0.8934
2.5986,0.0005,0.0001,0.0001,2.5978,0.0002,200,0.8874
2.9073,0.0005,0.0001,0.0001,2.9066,0.0001,200,0.5911
2.8158,0.0005,0.0001,0.0001,2.8151,0.0001,200,0.6866
2.3395,0.0005,0.0001,0.0001,2.3387,0.0001,200,1.1714
2.6847,0.0005,0.0001,0.0001,2.6840,0.0002,200,0.9634
2.7884,0.0005,0.0001,0.0001,2.7876,0.0001,200,0.8855
2.4899,0.0004,0.0000,0.0001,2.4893,0.0001,200,1.1983
2.5498,0.0005,0.0001,0.0001,2.5491,0.0001,200,1.1394
2.5058,0.0005,0.0001,0.0001,2.5051,0.0001,200,1.1863
2.5771,0.0005,0.0001,0.0001,2.5763,0.0001,200,1.1440
2.6365,0.0006,0.0001,0.0001,2.6356,0.0001,200,1.1063
2.6119,0.0006,0.0001,0.0001,2.6111,0.0001,200,1.1458
2.6161,0.0005,0.0001,0.0001,2.6153,0.0001,200,1.1542
0.0831,0.0006,0.0001,0.0001,0.0823,0.0002,429,3.6882
2.5736,0.0005,0.0001,0.0001,2.5729,0.0001,200,1.1978
2.5522,0.0005,0.0001,0.0001,2.5514,0.0001,200,1.3544
2.5987,0.0006,0.0001,0.0001,2.5979,0.0001,200,1.3302
2.5551,0.0005,0.0001,0.0001,2.5543,0.0001,200,1.3904
2.5735,0.0005,0.0001,0.0001,2.5728,0.0002,200,1.3755
2.5570,0.0006,0.0001,0.0001,2.5562,0.0002,200,1.3922
2.5315,0.0005,0.0001,0.0001,2.5307,0.0001,200,1.4502
2.5630,0.0005,0.0001,0.0001,2.5623,0.0002,200,1.4365
2.6117,0.0005,0.0001,0.0001,2.6110,0.0001,200,1.4038
2.6035,0.0005,0.0001,0.0001,2.6028,0.0001,200,1.4260
2.5803,0.0004,0.0000,0.0001,2.5797,0.0001,200,1.4506
0.0770,0.0005,0.0001,0.0001,0.0762,0.0002,429,4.0295
2.5547,0.0006,0.0001,0.0001,2.5538,0.0001,200,1.6060
2.5988,0.0005,0.0001,0.0001,2.5980,0.0001,200,1.5872
2.5563,0.0005,0.0001,0.0001,2.5556,0.0001,200,1.6436
2.5569,0.0004,0.0001,0.0001,2.5562,0.0001,200,1.6446
2.5749,0.0006,0.0001,0.0001,2.5741,0.0001,200,1.6305
2.5328,0.0005,0.0001,0.0001,2.5320,0.0001,200,1.7072
2.5874,0.0005,0.0001,0.0001,2.5866,0.0001,200,1.6660
2.5830,0.0005,0.0001,0.0001,2.5822,0.0001,200,1.6950
2.5975,0.0006,0.0001,0.0001,2.5967,0.0001,200,1.6812
2.5780,0.0005,0.0001,0.0001,2.5773,0.0001,200,1.7069
0.0756,0.0005,0.0001,0.0001,0.0749,0.0001,429,4.2787
0.0625,0.0006,0.0001,0.0001,0.0616,0.0001,429,4.3543
2.5591,0.0005,0.0001,0.0001,2.5583,0.0001,200,1.8630
2.6018,0.0005,0.0001,0.0001,2.6009,0.0001,200,1.8421
2.5524,0.0005,0.0001,0.0001,2.5517,0.0001,200,1.9023
2.5745,0.0005,0.0001,0.0001,2.5738,0.0001,200,1.8869
2.5649,0.0005,0.0001,0.0001,2.5641,0.0002,200,1.8978
2.5490,0.0005,0.0001,0.0001,2.5483,0.0001,200,1.9507
2.5464,0.0005,0.0001,0.0001,2.5456,0.0001,200,1.9648
2.5689,0.0005,0.0001,0.0001,2.5681,0.0002,200,1.9655
2.6025,0.0006,0.0001,0.0001,2.6017,0.0001,200,1.9376
2.6308,0.0005,0.0001,0.0001,2.6301,0.0002,200,1.9184
0.0689,0.0005,0.0001,0.0001,0.0682,0.0001,429,4.5492
2.5229,0.0005,0.0001,0.0001,2.5222,0.0002,200,2.1560
2.5850,0.0005,0.0001,0.0001,2.5842,0.0002,200,2.1208
2.6086,0.0005,0.0001,0.0001,2.6079,0.0001,200,2.0975
2.5847,0.0005,0.0001,0.0001,2.5840,0.0001,200,2.1423
2.5709,0.0005,0.0001,0.0001,2.5701,0.0002,200,2.1577
