response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.3420,0.0005,0.0001,0.0001,3.3413,0.0001,200,0.2561
3.1298,0.0005,0.0001,0.0001,3.1289,0.0002,200,0.4776
2.9394,0.0005,0.0001,0.0001,2.9386,0.0002,200,0.7636
1.2894,0.0005,0.0001,0.0001,1.2886,0.0002,200,2.4249
2.1705,0.0006,0.0001,0.0001,2.1697,0.0001,200,1.5718
2.8535,0.0006,0.0001,0.0001,2.8526,0.0001,200,0.9043
1.0723,0.0006,0.0001,0.0001,1.0715,0.0001,200,2.7214
3.0677,0.0005,0.0001,0.0001,3.0669,0.0002,200,0.7556
2.3057,0.0005,0.0001,0.0001,2.3049,0.0002,200,1.5398
3.5849,0.0005,0.0001,0.0001,3.5842,0.0002,200,0.2728
3.1008,0.0005,0.0001,0.0001,3.1001,0.0001,200,0.7571
3.4041,0.0006,0.0001,0.0001,3.4032,0.0002,200,0.4598
2.5100,0.0005,0.0001,0.0001,2.5092,0.0002,200,1.4492
1.0335,0.0006,0.0001,0.0001,1.0325,0.0002,200,2.9375
2.0836,0.0005,0.0001,0.0001,2.0828,0.0002,200,1.9151
2.7891,0.0005,0.0001,0.0001,2.7883,0.0001,200,1.2225
1.2966,0.0005,0.0001,0.0001,1.2959,0.0002,200,2.7566
3.1085,0.0005,0.0001,0.0001,3.1077,0.0002,200,0.9708
2.3800,0.0005,0.0001,0.0001,2.3792,0.0002,200,1.7196
3.0759,0.0005,0.0001,0.0001,3.0751,0.0002,200,1.0364
3.2807,0.0005,0.0001,0.0001,3.2799,0.0002,200,0.8325
3.6441,0.0005,0.0001,0.0001,3.6433,0.0001,200,0.4811
2.4239,0.0005,0.0001,0.0001,2.4232,0.0001,200,1.7894
1.1645,0.0005,0.0001,0.0001,1.1637,0.0001,200,3.0603
1.9468,0.0005,0.0001,0.0001,1.9460,0.0002,200,2.3092
3.0316,0.0005,0.0001,0.0001,3.0308,0.0002,200,1.2353
1.2368,0.0005,0.0001,0.0001,1.2360,0.0001,200,3.0762
3.2925,0.0006,0.0001,0.0001,3.2917,0.0001,200,1.0450
2.0596,0.0005,0.0001,0.0001,2.0588,0.0002,200,2.2976
3.0694,0.0005,0.0001,0.0001,3.0686,0.0002,200,1.3021
3.3099,0.0005,0.0001,0.0001,3.3091,0.0002,200,1.0641
3.7915,0.0005,0.0001,0.0001,3.7909,0.0001,200,0.5825
2.2967,0.0005,0.0001,0.0001,2.2958,0.0002,200,2.1708
1.3800,0.0005,0.0001,0.0001,1.3792,0.0002,200,3.0989
2.0440,0.0005,0.0001,0.0001,2.0433,0.0002,200,2.4676
3.2243,0.0006,0.0001,0.0001,3.2235,0.0001,200,1.2993
1.2188,0.0005,0.0001,0.0001,1.2180,0.0002,200,3.3562
3.1775,0.0005,0.0001,0.0001,3.1767,0.0001,200,1.4163
2.0579,0.0005,0.0001,0.0001,2.0571,0.0002,200,2.5541
4.0154,0.0005,0.0001,0.0001,4.0147,0.0001,200,0.6107
2.6038,0.0006,0.0001,0.0001,2.6029,0.0002,200,2.0339
3.3713,0.0005,0.0001,0.0001,3.3705,0.0001,200,1.2679
2.1509,0.0005,0.0001,0.0001,2.1501,0.0001,200,2.5742
1.4001,0.0005,0.0001,0.0001,1.3992,0.0001,200,3.3330
2.2866,0.0005,0.0001,0.0001,2.2858,0.0002,200,2.4802
3.4542,0.0005,0.0001,0.0001,3.4534,0.0001,200,1.3230
1.0117,0.0005,0.0001,0.0001,1.0109,0.0002,200,3.8233
2.6439,0.0005,0.0001,0.0001,2.6431,0.0001,200,2.2082
2.0442,0.0005,0.0001,0.0001,2.0435,0.0001,200,2.8217
3.8663,0.0005,0.0001,0.0001,3.8656,0.0001,200,1.0130
1.4057,0.0005,0.0001,0.0001,1.4050,0.0001,200,3.4874
3.3617,0.0005,0.0001,0.0001,3.3610,0.0001,200,1.5316
1.5313,0.0005,0.0001,0.0001,1.5305,0.0002,200,3.4488
0.9379,0.0006,0.0001,0.0001,0.9371,0.0001,200,4.0533
2.4516,0.0005,0.0001,0.0001,2.4508,0.0001,200,2.5697
3.3626,0.0005,0.0001,0.0001,3.3618,0.0001,200,1.6706
1.1319,0.0005,0.0001,0.0001,1.1311,0.0002,200,3.9592
2.3729,0.0005,0.0001,0.0001,2.3721,0.0001,200,2.7350
1.7934,0.0006,0.0001,0.0001,1.7925,0.0002,200,3.3287
3.5842,0.0005,0.0001,0.0001,3.5835,0.0001,200,1.5494
1.5570,0.0005,0.0001,0.0001,1.5563,0.0001,200,3.5880
3.6098,0.0005,0.0001,0.0001,3.6090,0.0001,200,1.5442
1.6486,0.0005,0.0001,0.0001,1.6478,0.0001,200,3.5863
1.1322,0.0004,0.0001,0.0000,1.1315,0.0001,200,4.1133
2.5816,0.0005,0.0001,0.0001,2.5808,0.0002,200,2.6927
3.4987,0.0005,0.0001,0.0001,3.4979,0.0002,200,1.7865
1.0952,0.0005,0.0001,0.0001,1.0944,0.0001,200,4.2560
2.5210,0.0005,0.0001,0.0001,2.5203,0.0002,200,2.8424
1.7689,0.0005,0.0001,0.0001,1.7682,0.0001,200,3.6074
3.6922,0.0005,0.0001,0.0001,3.6915,0.0001,200,1.6958
1.6900,0.0005,0.0001,0.0001,1.6892,0.0001,200,3.7143
3.6937,0.0005,0.0001,0.0001,3.6928,0.0002,200,1.7216
1.4902,0.0005,0.0001,0.0001,1.4894,0.0002,200,3.9987
1.2895,0.0006,0.0001,0.0001,1.2887,0.0002,200,4.2133
2.4579,0.0005,0.0001,0.0001,2.4571,0.0001,200,3.0728
3.5711,0.0005,0.0001,0.0001,3.5703,0.0002,200,1.9702
0.9724,0.0005,0.0001,0.0001,0.9716,0.0001,200,4.6377
2.5382,0.0006,0.0001,0.0001,2.5373,0.0002,200,3.0832
1.8907,0.0006,0.0001,0.0001,1.8899,0.0002,200,3.7424
3.8231,0.0006,0.0001,0.0001,3.8223,0.0001,200,1.8214
1.8185,0.0005,0.0001,0.0001,1.8177,0.0001,200,3.8454
3.9005,0.0006,0.0001,0.0001,3.8995,0.0001,200,1.7750
1.6185,0.0006,0.0001,0.0001,1.6177,0.0001,200,4.1252
1.3804,0.0005,0.0001,0.0001,1.3797,0.0001,200,4.3740
2.5420,0.0005,0.0001,0.0001,2.5411,0.0002,200,3.2462
3.7515,0.0005,0.0001,0.0001,3.7508,0.0001,200,2.0463
1.0894,0.0005,0.0001,0.0001,1.0886,0.0001,200,4.7773
2.6831,0.0006,0.0001,0.0001,2.6823,0.0001,200,3.1933
1.9167,0.0005,0.0001,0.0001,1.9159,0.0002,200,3.9710
3.3433,0.0004,0.0001,0.0001,3.3426,0.0001,200,2.5550
2.0669,0.0006,0.0001,0.0001,2.0662,0.0001,200,3.8580
4.1297,0.0006,0.0001,0.0001,4.1289,0.0002,200,1.8067
1.5307,0.0006,0.0001,0.0001,1.5298,0.0002,200,4.4675
1.4980,0.0005,0.0001,0.0001,1.4972,0.0001,200,4.5117
2.5823,0.0005,0.0001,0.0001,2.5816,0.0001,200,3.4599
3.8132,0.0005,0.0001,0.0001,3.8125,0.0002,200,2.2390
0.8522,0.0005,0.0001,0.0001,0.8514,0.0001,200,5.2743
2.8148,0.0006,0.0001,0.0001,2.8140,0.0002,200,3.3148
2.0648,0.0006,0.0001,0.0001,2.0639,0.0002,200,4.0793
3.4709,0.0005,0.0001,0.0001,3.4701,0.0002,200,2.6804
1.8505,0.0005,0.0001,0.0001,1.8497,0.0002,200,4.3375
4.0110,0.0005,0.0001,0.0001,4.0103,0.0002,200,2.1822
1.2718,0.0006,0.0001,0.0001,1.2708,0.0002,200,4.9801
1.6244,0.0005,0.0001,0.0001,1.6236,0.0002,200,4.6392
2.4398,0.0005,0.0001,0.0001,2.4391,0.0002,200,3.8578
4.0171,0.0006,0.0001,0.0001,4.0162,0.0001,200,2.2927
0.7524,0.0005,0.0001,0.0001,0.7516,0.0001,200,5.6331
2.5236,0.0005,0.0001,0.0001,2.5227,0.0002,200,3.8639
2.0299,0.0005,0.0001,0.0001,2.0291,0.0002,200,4.3740
3.6011,0.0005,0.0001,0.0001,3.6003,0.0002,200,2.8056
1.8683,0.0005,0.0001,0.0001,1.8675,0.0002,200,4.5751
4.1376,0.0005,0.0001,0.0001,4.1368,0.0001,200,2.3145
1.1436,0.0006,0.0001,0.0001,1.1428,0.0001,200,5.3634
1.6539,0.0005,0.0001,0.0001,1.6531,0.0001,200,4.8659
2.5411,0.0005,0.0001,0.0001,2.5403,0.0002,200,4.0115
4.2337,0.0005,0.0001,0.0001,4.2329,0.0002,200,2.3303
2.5454,0.0005,0.0001,0.0001,2.5446,0.0002,200,4.0995
0.8478,0.0005,0.0001,0.0001,0.8471,0.0001,200,5.7977
1.5737,0.0006,0.0001,0.0001,1.5729,0.0002,200,5.0911
3.8292,0.0006,0.0001,0.0001,3.8284,0.0002,200,2.8357
1.9394,0.0005,0.0001,0.0001,1.9386,0.0001,200,4.7668
4.2099,0.0005,0.0001,0.0001,4.2092,0.0002,200,2.4975
1.1508,0.0005,0.0001,0.0001,1.1500,0.0002,200,5.6101
1.7850,0.0005,0.0001,0.0001,1.7842,0.0001,200,4.9912
2.4930,0.0006,0.0001,0.0001,2.4922,0.0001,200,4.3130
4.3818,0.0008,0.0001,0.0001,4.3807,0.0002,200,2.4368
2.7867,0.0005,0.0001,0.0001,2.7860,0.0001,200,4.1123
0.9046,0.0006,0.0001,0.0001,0.9038,0.0002,200,5.9982
1.8096,0.0006,0.0001,0.0001,1.8088,0.0001,200,5.1079
3.9060,0.0005,0.0001,0.0001,3.9053,0.0001,200,3.0159
1.9394,0.0005,0.0001,0.0001,1.9387,0.0001,200,5.0213
4.0145,0.0005,0.0001,0.0001,4.0138,0.0001,200,2.9489
1.2604,0.0005,0.0001,0.0001,1.2597,0.0001,200,5.7544
1.9106,0.0006,0.0001,0.0001,1.9097,0.0002,200,5.1221
2.1668,0.0005,0.0001,0.0001,2.1661,0.0001,200,4.8931
4.4844,0.0005,0.0001,0.0001,4.4836,0.0002,200,2.5886
2.7819,0.0006,0.0001,0.0001,2.7811,0.0001,200,4.3715
0.9775,0.0005,0.0001,0.0001,0.9768,0.0001,200,6.1879
2.0214,0.0006,0.0001,0.0001,2.0206,0.0001,200,5.1451
3.9435,0.0005,0.0001,0.0001,3.9427,0.0002,200,3.2309
1.9736,0.0005,0.0001,0.0001,1.9729,0.0001,200,5.2454
4.2332,0.0005,0.0001,0.0001,4.2324,0.0001,200,2.9899
1.3826,0.0005,0.0001,0.0001,1.3818,0.0002,200,5.8877
1.8844,0.0005,0.0001,0.0001,1.8837,0.0001,200,5.4043
1.9635,0.0006,0.0001,0.0001,1.9626,0.0002,200,5.3512
4.5119,0.0004,0.0001,0.0001,4.5112,0.0002,200,2.8174
2.8849,0.0005,0.0001,0.0001,2.8841,0.0002,200,4.5236
1.0330,0.0005,0.0001,0.0001,1.0322,0.0002,200,6.3875
1.1107,0.0005,0.0001,0.0001,1.1100,0.0001,200,6.3098
3.8981,0.0005,0.0001,0.0001,3.8974,0.0002,200,3.5347
4.2024,0.0004,0.0001,0.0001,4.2017,0.0002,200,3.2770
2.1954,0.0005,0.0001,0.0001,2.1947,0.0001,200,5.2853
1.5906,0.0006,0.0001,0.0001,1.5897,0.0002,200,5.9364
1.7559,0.0006,0.0001,0.0001,1.7550,0.0002,200,5.7882
2.1915,0.0005,0.0001,0.0001,2.1907,0.0002,200,5.3763
4.6104,0.0005,0.0001,0.0001,4.6096,0.0002,200,2.9751
3.0515,0.0006,0.0001,0.0001,3.0506,0.0001,200,4.6120
1.0292,0.0005,0.0001,0.0001,1.0285,0.0001,200,6.6449
1.2918,0.0005,0.0001,0.0001,1.2911,0.0001,200,6.3855
3.9258,0.0005,0.0001,0.0001,3.9250,0.0001,200,3.7578
4.3958,0.0005,0.0001,0.0001,4.3950,0.0002,200,3.3393
1.8696,0.0005,0.0001,0.0001,1.8688,0.0002,200,5.8666
1.7405,0.0005,0.0001,0.0001,1.7397,0.0002,200,6.0423
1.9229,0.0005,0.0001,0.0001,1.9221,0.0002,200,5.8764
2.2016,0.0005,0.0001,0.0001,2.2008,0.0002,200,5.6214
4.6361,0.0005,0.0001,0.0001,4.6353,0.0002,200,3.2047
3.1933,0.0005,0.0001,0.0001,3.1925,0.0002,200,4.7251
1.4868,0.0005,0.0001,0.0001,1.4860,0.0002,200,6.4434
3.4558,0.0005,0.0001,0.0001,3.4551,0.0001,200,4.4788
1.1823,0.0005,0.0001,0.0001,1.1815,0.0001,200,6.7608
4.2874,0.0005,0.0001,0.0001,4.2866,0.0001,200,3.7030
1.8443,0.0005,0.0001,0.0001,1.8435,0.0002,200,6.1513
1.7419,0.0005,0.0001,0.0001,1.7412,0.0001,200,6.2976
2.1558,0.0005,0.0001,0.0001,2.1550,0.0001,200,5.8983
2.0237,0.0005,0.0001,0.0001,2.0230,0.0001,200,6.0522
4.5935,0.0006,0.0001,0.0001,4.5926,0.0001,200,3.5009
3.0195,0.0006,0.0001,0.0001,3.0187,0.0002,200,5.1540
1.6756,0.0005,0.0001,0.0001,1.6749,0.0001,200,6.5070
3.5673,0.0006,0.0001,0.0001,3.5665,0.0001,200,4.6261
0.9859,0.0005,0.0001,0.0001,0.9851,0.0002,200,7.2190
3.9785,0.0005,0.0001,0.0001,3.9778,0.0001,200,4.2669
2.0047,0.0006,0.0001,0.0001,2.0039,0.0001,200,6.2519
1.6316,0.0005,0.0001,0.0001,1.6308,0.0001,200,6.6648
1.7449,0.0006,0.0001,0.0001,1.7441,0.0001,200,6.5640
2.2064,0.0006,0.0001,0.0001,2.2055,0.0002,200,6.1265
4.7805,0.0016,0.0004,0.0002,4.7777,0.0002,200,3.5695
3.0385,0.0005,0.0001,0.0001,3.0377,0.0001,200,5.3881
1.7926,0.0004,0.0000,0.0001,1.7920,0.0001,200,6.6455
3.5640,0.0006,0.0001,0.0001,3.5632,0.0001,200,4.8794
1.2425,0.0005,0.0001,0.0001,1.2417,0.0002,200,7.2231
4.1427,0.0006,0.0001,0.0001,4.1419,0.0001,200,4.3572
2.1063,0.0006,0.0001,0.0001,2.1055,0.0001,200,6.4039
1.7766,0.0006,0.0001,0.0001,1.7757,0.0001,200,6.7762
1.6427,0.0005,0.0001,0.0001,1.6420,0.0001,200,6.9219
2.4453,0.0005,0.0001,0.0001,2.4445,0.0001,200,6.1441
5.0067,0.0005,0.0001,0.0001,5.0059,0.0001,200,3.5982
3.1912,0.0005,0.0001,0.0001,3.1905,0.0002,200,5.4889
1.8743,0.0005,0.0001,0.0001,1.8736,0.0002,200,6.8186
3.5664,0.0005,0.0001,0.0001,3.5656,0.0001,200,5.1336
1.3122,0.0006,0.0001,0.0001,1.3113,0.0001,200,7.4085
4.1613,0.0005,0.0001,0.0001,4.1606,0.0001,200,4.5938
2.0599,0.0005,0.0001,0.0001,2.0592,0.0001,200,6.7074
1.8909,0.0005,0.0001,0.0001,1.8901,0.0001,200,6.9175
